lvl	pos	rep	cpos	crep	ctype	content_class	priority	index	function_name	argument_gloss	argument_name	argument_description
0	100	000	000	000	Modulator	C	1	0	Mood		General	Undifferentiated mood
0	100	000	000	000	Modulator	C	2	1	Mood	IND	Indicative or subjunctive	Description not subject to doubt, or a general speculation
0	100	000	000	000	Modulator	C	3	2	Mood	DIR	Directive or optative	Prescription justified by volition, or a factual wish
0	100	000	000	000	Modulator	C	4	3	Mood	DED	Deductive or assumptive	Description that is deterministic, or a general assumption
0	100	000	000	000	Modulator	C	5	4	Mood	COM	Commissive or volitive	Prescription justified by obligation, or a counterfactual wish
0	100	000	000	000	Modulator	C	6	5	Mood	DEC	Declarative or interrogative	Description epistemically necessary, an inqury
0	100	000	000	000	Modulator	C	7	7	Mood	DUB	Dubitative or interrogative	Description epistemically possible, a wonder
0	100	000	000	000	Modulator	C	8	9	Mood	MND	Mandative or propositive	Prescription affirming a requirement or suggestion
0	100	000	000	000	Modulator	C	9	11	Mood	PRM	Permissive or propositive	Prescription affirming a permission or advice
0	100	000	000	000	Modulator	C	10	13	Mood	NCS	Necessitative or speculative	Description statistically necessary, a strong speculation
0	100	000	000	000	Modulator	C	11	15	Mood	POT	Potentive or speculative	Description statistically possible, a weak speculation
0	100	000	000	000	Modulator	C	12	17	Mood	DEB	Debitive or deliberative	Prescription affirming a duty or strong deliberation
0	100	000	000	000	Modulator	C	13	19	Mood	TNT	Tentative or deliberative	Prescription affirming an intention or weak deliberation
0	011	000	000	000	Modulator	V	1	1	Evidentiality	SYN	Synthetic	What is obvious or consensual, common sense
0	011	000	000	000	Modulator	V	2	2	Evidentiality	ANL	Analytic	General logical and symbolic derivations
0	011	000	000	000	Modulator	V	3	3	Evidentiality	SYN.PR	Synthetic a priori	Intuition derived from past or well-known events
0	011	000	000	000	Modulator	V	4	4	Evidentiality	SYN.PST	Synthetic a posteriori	Intuition derived from current or new events
0	011	000	000	000	Modulator	V	5	5	Evidentiality	ANL.PR	Analytic a priori	Deduction from previous knowledge
0	011	000	000	000	Modulator	V	6	6	Evidentiality	ANL.PST	Analytic a posteriori	Deduction from new knowledge
0	010	000	001	000	Connector	C	1	1	Connection	PRT	Participatory general	Directs the predicate to or away from the object
0	010	000	001	000	Connector	C	2	2	Connection	TRN	Translative general	Directs the predicate into or outside of the object
